Town;Area (Km²);Latitude;Longitude;NUTS_2;NUTS_3;InsPowMW_20150131;InsPowMW_20150228;InsPowMW_20150331;InsPowMW_20150430;InsPowMW_20150531;InsPowMW_20150630;InsPowMW_20150731;InsPowMW_20150831;InsPowMW_20150930;InsPowMW_20151031;InsPowMW_20151130;InsPowMW_20151231;InsPowMW_20160131;InsPowMW_20160229;InsPowMW_20160331;InsPowMW_20160430;InsPowMW_20160531;InsPowMW_20160630;InsPowMW_20160731;InsPowMW_20160831;InsPowMW_20160930;InsPowMW_20161031;InsPowMW_20161130;InsPowMW_20161231;InsPowMW_20170131;InsPowMW_20170228;InsPowMW_20170331;InsPowMW_20170430;InsPowMW_20170531;InsPowMW_20170630;InsPowMW_20170731;InsPowMW_20170831;InsPowMW_20170930;InsPowMW_20171031;InsPowMW_20171130;InsPowMW_20171231;InsPowMW_20180131;InsPowMW_20180228;InsPowMW_20180331;InsPowMW_20180430;InsPowMW_20180531;InsPowMW_20180630;InsPowMW_20180731;InsPowMW_20180831;InsPowMW_20180930;InsPowMW_20181031;InsPowMW_20181130;InsPowMW_20181231;InsPowMW_20190131;InsPowMW_20190228;InsPowMW_20190331;InsPowMW_20190430;InsPowMW_20190531;InsPowMW_20190630;InsPowMW_20190731;InsPowMW_20190831;InsPowMW_20190930;InsPowMW_20191031;InsPowMW_20191130;InsPowMW_20191231;InsPowMW_20200131;InsPowMW_20200229;InsPowMW_20200331;InsPowMW_20200430;InsPowMW_20200531;InsPowMW_20200630;InsPowMW_20200731;InsPowMW_20200831;InsPowMW_20200930;InsPowMW_20201031;InsPowMW_20201130;InsPowMW_20201231
Valencia de Alcántara;594.8;39.44;-7.22;ES43;ES432;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39;1.39
Valencia de Don Juan;58.5;42.28;-5.50;ES41;ES413;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Valencia de las Torres;210.2;38.44;-5.96;ES43;ES431;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Valencia del Mombuey;74.9;38.24;-7.10;ES43;ES431;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605
Valencia del Ventoso;99.2;38.27;-6.47;ES43;ES431;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091;0.091
Valencia;139.3;39.42;-0.36;ES52;ES523;5.546;5.546;5.546;5.546;5.546;5.546;5.546;5.546;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689;5.689
Valencina de la Concepción;25.1;37.42;-6.07;ES61;ES618;0.345;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349
Valenzuela;19.0;37.77;-4.24;ES61;ES613;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Valeras (Las);113.0;39.80;-2.15;ES42;ES423;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045
Valhermoso de la Fuente;32.1;39.55;-2.01;ES42;ES423;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Valhermoso;29.1;40.78;-1.99;ES42;ES424;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Vall d'Alba;52.9;40.18;-0.03;ES52;ES522;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257;3.257
Vall d'Ebo (la);32.4;38.80;-0.17;ES52;ES521;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Vall d'en Bas (La);90.6;42.13;2.42;ES51;ES512;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Vall d'Uixó (la);67.1;39.81;-0.23;ES52;ES522;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195;2.195
Vall de Bianya (La);93.7;42.24;2.43;ES51;ES512;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022;0.022
Vallada;61.5;38.90;-0.69;ES52;ES523;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314
Valladolid;197.4;41.66;-4.78;ES41;ES418;17.127;17.127;17.127;17.127;17.127;17.127;17.127;17.127;17.127;17.322;17.322;17.322;17.322;17.322;17.322;17.322;17.322;17.322;17.322;17.322;17.347;17.446;17.446;17.446;17.446;17.446;17.446;17.446;17.446;17.446;17.446;17.483;17.483;17.509;17.545;17.545;17.58;17.58;17.58;17.606;17.606;17.606;17.606;17.606;17.642;17.642;17.642;17.642;17.642;17.642;17.642;17.642;17.642;17.642;17.642;17.739;17.739;17.766;17.766;17.766;17.813;17.813;17.813;17.86;17.86;17.86;17.86;17.86;17.86;17.86;17.86;17.86
Vallanca;56.6;40.05;-1.35;ES52;ES523;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Vallbona d'Anoia;6.4;41.53;1.71;ES51;ES511;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09
Vallbona de les Monges;34.3;41.50;1.12;ES51;ES513;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Valle de Abdalajís;21.2;36.94;-4.67;ES61;ES617;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4
Valle de Egüés/Eguesibar;53.3;42.82;-1.55;ES22;ES220;0.373;0.373;0.373;0.373;0.373;0.373;0.373;0.373;0.373;0.373;0.373;0.373;0.373;0.373;0.373;0.373;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385;0.385
Valle de Lierp;32.8;42.38;0.49;ES24;ES241;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205;0.205
Valle de Losa;227.6;42.99;-3.22;ES41;ES412;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101;0.101
Valle de Mena;262.7;43.11;-3.27;ES41;ES412;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Valle de Trápaga-Trapagaran;12.9;43.29;-3.04;ES21;ES213;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Valle de Valdelucio;95.8;42.72;-4.08;ES41;ES412;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009;0.009
Valle de Yerri/Deierri;252.6;42.80;-2.04;ES22;ES220;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365;0.365
Valle del Retortillo;63.0;42.22;-4.78;ES41;ES414;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Valle del Zalabí;108.7;37.28;-3.00;ES61;ES614;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399;1.399
Vallecillo;23.4;42.35;-5.21;ES41;ES413;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Vallelado;36.8;41.39;-4.42;ES41;ES416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026;0.026
Vallfogona de Balaguer;27.1;41.75;0.83;ES51;ES513;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599;0.599
Vallgorguina;22.2;41.65;2.50;ES51;ES511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003
Vallirana;23.8;41.37;1.92;ES51;ES511;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Vallromanes;10.6;41.53;2.30;ES51;ES511;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021
Valls de Valira (Les);169.2;42.44;1.45;ES51;ES513;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Valls;55.6;41.30;1.24;ES51;ES514;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646;6.646
Valoria la Buena;43.3;41.80;-4.53;ES41;ES418;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Valpalmas;39.8;42.16;-0.85;ES24;ES243;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805;0.805
Valtierra;50.3;42.22;-1.62;ES22;ES220;9.732;9.732;9.732;9.732;9.732;9.732;9.732;9.732;9.732;9.732;9.732;9.732;9.732;9.732;9.732;9.732;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752;9.752
